Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,PH-00015,HDR-TH_4P-P2.54-V-M,111.759992,-102.87,0,top
LED1,KT-0603R,LED0603-RD,127.013056,-87.44,90,top
LED2,KT-0603R,LED0603-RD,72.969315,-98.908125,-90,top
LED3,KT-0603R,LED0603-RD,92.122271,-98.908658,-90,top
R1,0805W8F1002T5E,R0805,54.34,-118.38,90,top
R2,0805W8F1002T5E,R0805,61.96,-118.38,-90,top
R3,0805W8F1002T5E,R0805,54.34,-113.3,90,top
R4,0805W8F1002T5E,R0805,61.96,-113.3,-90,top
R5,0805W8F1002T5E,R0805,54.34,-107.899962,90,top
R6,0805W8F1002T5E,R0805,61.96,-107.899962,-90,top
R7,0805W8F1002T5E,R0805,54.34,-103.14,90,top
R8,0805W8F1002T5E,R0805,61.96,-103.14,-90,top
R9,0805W8F1001T5E,R0805,127.013056,-83.44,0,top
R10,0805W8F1001T5E,R0805,76.976998,-99.378658,0,top
R11,0805W8F1001T5E,R0805,88.013383,-99.378658,180,top
R12,0805W8F1001T5E,R0805,127.013056,-91.44,180,top
R13,0805W8F1002T5E,R0805,58.740038,-60.799981,0,top
R14,0805W8F1002T5E,R0805,62.870076,-63.5,90,top
R15,0805W8F1002T5E,R0805,68.900038,-60.96,0,top
R16,0805W8F1002T5E,R0805,73.010038,-63.5,90,top
R17,0805W8F1002T5E,R0805,54.34,-98.06,90,top
R18,0805W8F1002T5E,R0805,61.96,-98.06,-90,top
U1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,169.070706,-72.012485,0,top
U2,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,175.690706,-72.012485,90,top
U3,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,185.070706,-72.012485,0,top
U4,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,191.690706,-72.012485,90,top
U5,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,201.070706,-72.012485,0,top
U6,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,207.690706,-72.012485,90,top
U7,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,217.070706,-72.012485,0,top
U8,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,223.690706,-72.012485,90,top
U9,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,169.070706,-88.012485,0,top
U10,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,223.690706,-88.012485,90,top
U11,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,185.070706,-88.012485,0,top
U12,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,207.690706,-88.012485,90,top
U13,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,201.070706,-88.012485,0,top
U14,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,191.690706,-88.012485,90,top
U15,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,217.070706,-88.012485,0,top
U16,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,175.690706,-88.012485,90,top
U17,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,169.070706,-104.012485,0,top
U18,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,169.070706,-120.012485,0,top
U19,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,175.690706,-104.012485,90,top
U20,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,175.690706,-120.012485,90,top
U21,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,185.070706,-104.012485,0,top
U22,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,185.070706,-120.012485,0,top
U23,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,191.77,-120.012485,90,top
U24,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,191.77,-104.012485,90,top
U25,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,201.070706,-104.012485,0,top
U26,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,201.070706,-120.012485,0,top
U27,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,207.690706,-104.012485,90,top
U28,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,207.690706,-120.012485,90,top
U29,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,217.070706,-104.012485,0,top
U30,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,217.070706,-120.012485,0,top
U31,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,223.52,-120.012485,90,top
U32,1N4001_C2892326,SOD-123FL_L2.8-W1.8-LS3.7-RD,223.690706,-104.14,90,top
U33,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,76.780191,-111.219987,-90,top
U34,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,88.210191,-111.219987,-90,top
U35,SS-3390S-L0,SW-SMD_6P-P2.50_L3.5-W7.2,76.780191,-123.65265,0,top
U36,SS-3390S-L0,SW-SMD_6P-P2.50_L3.5-W7.2,88.210191,-123.65265,0,top
U37,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,126.419784,-67.309987,-90,top
U38,X6511FRS-11-C85D30,HDR-SMD_11P-P2.54-H-F-L11.5,142.201925,-115.531115,0,top
